record_id,cohort_quarter,location_id,education_level,field_of_study,target_occupation_id,skills,is_synthetic
DEMO-0001,2026-Q1,chicago,Master's (completed),Engineering,data_analyst,A/B Testing;Business Acumen;Communication;Excel;Networking;Power BI;Problem Solving;Python;Risk & Compliance;SQL;Stakeholder Management;Tableau,yes
DEMO-0002,2025-Q2,chicago,Master's (in progress),Engineering,software_engineer,AWS;C++;CI/CD;Deep Learning;Git;JavaScript;Linux;Problem Solving;Python;REST APIs;React;SQL;System Design;Testing / QA Automation,yes
DEMO-0003,2026-Q2,chicago,Doctorate,Information Systems,web_developer,Communication;Data Modeling;Git;JavaScript;NoSQL Databases;Problem Solving;React,yes
DEMO-0004,2025-Q4,chicago,Doctorate,Computer Science,data_engineer,Airflow;CI/CD;Communication;Data Modeling;Docker;ETL / Data Pipelines;Git;Kafka;MLOps;NLP;Risk & Compliance;Spark;Terraform,yes
DEMO-0005,2025-Q4,chicago,Bachelor's (in progress),Computer Science,cloud_engineer,CI/CD;Docker;GCP;Git;JavaScript;Kubernetes;Linux;Networking;Statistics;Terraform,yes
DEMO-0006,2026-Q1,atlanta,Master's (completed),Business / Finance,cloud_engineer,AWS;Azure;CI/CD;GCP;Kubernetes;Linux;Problem Solving;Python,yes
DEMO-0007,2025-Q3,chicago,Master's (in progress),Data Science / Analytics,data_analyst,A/B Testing;Business Acumen;Communication;Data Modeling;Data Visualization;HTML/CSS;Problem Solving;Python;Statistics;Testing / QA Automation,yes
DEMO-0008,2026-Q2,chicago,Master's (in progress),Data Science / Analytics,software_engineer,AWS;C++;CI/CD;Deep Learning;Docker;Excel;Git;Java;JavaScript;Linux;Machine Learning;Power BI;Problem Solving;Python;SQL;System Design;Testing / QA Automation,yes
DEMO-0009,2025-Q3,boston,Master's (completed),Computer Science,database_admin,AWS;Azure;Communication;Networking;Problem Solving;Python;SQL,yes
DEMO-0010,2026-Q1,washington_dc,Master's (in progress),Information Systems,ml_engineer,AWS;CI/CD;Cybersecurity;Deep Learning;Docker;Git;MLOps;Machine Learning;NLP;Python;SQL;Spark,yes
DEMO-0011,2026-Q1,seattle,Master's (in progress),Data Science / Analytics,data_analyst,A/B Testing;Communication;Excel;Machine Learning;Power BI;Problem Solving;Python;R;SQL;Tableau,yes
DEMO-0012,2025-Q3,san_francisco,Master's (in progress),Other,data_engineer,AWS;CI/CD;Communication;Data Modeling;ETL / Data Pipelines;Java;Networking;NoSQL Databases;Python;R;SQL;Spark;Terraform,yes
DEMO-0013,2026-Q1,new_york,Bachelor's (completed),Computer Science,data_analyst,Airflow;Business Acumen;Data Modeling;Data Visualization;Excel;Financial Modeling;Power BI;Problem Solving;Python;Stakeholder Management;Statistics;Tableau,yes
DEMO-0014,2026-Q1,seattle,Bachelor's (completed),Information Systems,data_engineer,Communication;Data Modeling;Docker;ETL / Data Pipelines;Excel;Git;Kafka;Linux;SQL;Spark;Tableau,yes
DEMO-0015,2026-Q2,boston,Bachelor's (in progress),Business / Finance,market_research_analyst,Business Acumen;Data Modeling;Data Visualization;Excel;GCP;Problem Solving;R;SQL;Statistics,yes
DEMO-0016,2026-Q2,chicago,Doctorate,Computer Science,data_scientist,A/B Testing;AWS;CI/CD;Communication;Data Visualization;Financial Modeling;Machine Learning;NLP;Problem Solving;Spark;Statistics,yes
DEMO-0017,2025-Q2,austin,Master's (in progress),Data Science / Analytics,software_engineer,Agile / Scrum;C++;Communication;Java;JavaScript;Problem Solving;Python;REST APIs;Spark;System Design,yes
DEMO-0018,2025-Q3,boston,Master's (completed),Engineering,software_engineer,AWS;C++;CI/CD;Communication;Docker;Git;Java;Power BI;Problem Solving;Project Management;Python;Tableau,yes
DEMO-0019,2026-Q1,chicago,Master's (in progress),Computer Science,data_scientist,A/B Testing;Data Visualization;Machine Learning;Problem Solving;Python;R;Statistics;Terraform;Testing / QA Automation,yes
DEMO-0020,2026-Q1,chicago,Master's (in progress),Data Science / Analytics,security_analyst,Problem Solving;Python;REST APIs;SQL;Stakeholder Management;System Design,yes
DEMO-0021,2026-Q2,chicago,Bachelor's (completed),Computer Science,security_analyst,Azure;Communication;Cybersecurity;GCP;Networking;Problem Solving;Risk & Compliance,yes
DEMO-0022,2025-Q3,dallas,Master's (in progress),Business / Finance,ml_engineer,AWS;Deep Learning;Docker;GCP;Git;HTML/CSS;Kubernetes;Linux;Machine Learning;Python;SQL;Spark,yes
DEMO-0023,2026-Q2,chicago,Bachelor's (completed),Data Science / Analytics,software_engineer,Agile / Scrum;Airflow;Financial Modeling;Git;Java;Linux;Problem Solving,yes
DEMO-0024,2026-Q1,chicago,Master's (completed),Data Science / Analytics,software_engineer,Agile / Scrum;Communication;Java;JavaScript;Linux;Power BI;Python;System Design;Testing / QA Automation,yes
DEMO-0025,2025-Q3,boston,Master's (completed),Information Systems,data_scientist,A/B Testing;C++;Communication;Data Visualization;NLP;Python;Spark;Terraform,yes
DEMO-0026,2025-Q2,san_francisco,Doctorate,Computer Science,project_manager,AWS;Agile / Scrum;Business Acumen;Communication;Cybersecurity;Data Visualization;NLP;Problem Solving;Stakeholder Management;Testing / QA Automation,yes
DEMO-0027,2026-Q2,atlanta,Master's (in progress),Data Science / Analytics,ml_engineer,Deep Learning;GCP;Git;Linux;MLOps;Machine Learning;Python;REST APIs;SQL;Spark;Statistics;System Design;Terraform,yes
DEMO-0028,2025-Q2,chicago,Bachelor's (completed),Computer Science,data_scientist,A/B Testing;AWS;Communication;Deep Learning;Git;Kafka;Machine Learning;NoSQL Databases;Problem Solving;Python;R;SQL;Statistics;Terraform,yes
DEMO-0029,2025-Q2,washington_dc,Master's (in progress),Engineering,data_analyst,A/B Testing;Agile / Scrum;Business Acumen;Communication;Data Modeling;Data Visualization;GCP;Problem Solving;Python;R;SQL;Stakeholder Management;Statistics,yes
DEMO-0030,2025-Q2,chicago,Master's (in progress),Data Science / Analytics,database_admin,AWS;Cybersecurity;Linux;Networking;NoSQL Databases;Problem Solving;SQL,yes
DEMO-0031,2026-Q2,chicago,Bachelor's (in progress),Computer Science,data_analyst,Communication;Docker;Excel;Power BI;Problem Solving;Stakeholder Management;Statistics;Tableau,yes
DEMO-0032,2025-Q4,chicago,Bachelor's (in progress),Computer Science,data_analyst,Business Acumen;Communication;Data Modeling;Data Visualization;Excel;Problem Solving;Python;R;SQL;Statistics;Tableau,yes
DEMO-0033,2025-Q2,washington_dc,Master's (completed),Information Systems,data_analyst,A/B Testing;AWS;Business Acumen;ETL / Data Pipelines;Excel;Power BI;Problem Solving;Python;Statistics;Tableau,yes
DEMO-0034,2026-Q2,chicago,Master's (in progress),Business / Finance,statistician,A/B Testing;Business Acumen;Kafka;Machine Learning;Power BI;Python;R;SQL;Statistics,yes
DEMO-0035,2025-Q3,chicago,Bachelor's (completed),Business / Finance,data_engineer,Airflow;Azure;CI/CD;Communication;Data Modeling;Docker;GCP;Kafka;REST APIs;SQL;Spark;Terraform,yes
DEMO-0036,2025-Q4,new_york,Bachelor's (in progress),Computer Science,data_analyst,Business Acumen;Communication;Data Modeling;Data Visualization;Excel;Machine Learning;Power BI;SQL;Stakeholder Management;Statistics;Tableau,yes
DEMO-0037,2025-Q4,dallas,Master's (in progress),Data Science / Analytics,cloud_engineer,AWS;CI/CD;JavaScript;Kafka;Kubernetes;Networking;Power BI;R;Terraform,yes
DEMO-0038,2025-Q3,atlanta,Bachelor's (in progress),Computer Science,data_analyst,Business Acumen;C++;Data Modeling;Data Visualization;Excel;Networking;Python;SQL;Statistics,yes
DEMO-0039,2026-Q2,chicago,Master's (in progress),Computer Science,financial_analyst,Agile / Scrum;Azure;Business Acumen;Communication;Excel;Python;R;SQL;Spark;Statistics,yes
DEMO-0040,2025-Q2,chicago,Master's (completed),Information Systems,data_analyst,A/B Testing;Business Acumen;Communication;Data Modeling;Data Visualization;Power BI;Problem Solving;Python;Stakeholder Management;Statistics;Tableau,yes
DEMO-0041,2025-Q2,chicago,Master's (completed),Computer Science,security_analyst,Azure;Cybersecurity;Linux;NLP;Networking;Problem Solving;Risk & Compliance;Stakeholder Management;Terraform,yes
